benchmark,onnx_path,vnnlib_path,total_time,result,solver_time
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/03200_label_5_eps_0.03137.vnnlib,0.018600000,SAT,0.018600000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/03200_label_5_eps_0.06275.vnnlib,0.018600000,SAT,0.018600000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/03600_label_4_eps_0.00392.vnnlib,0.018800000,SAT,0.018800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/03600_label_4_eps_0.00784.vnnlib,0.018500000,SAT,0.018500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/03600_label_4_eps_0.01569.vnnlib,0.018400000,SAT,0.018400000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/03600_label_4_eps_0.03137.vnnlib,0.018900000,SAT,0.018900000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/03600_label_4_eps_0.06275.vnnlib,0.019100000,SAT,0.019100000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04000_label_8_eps_0.00392.vnnlib,0.123700000,SAT,0.123700000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04000_label_8_eps_0.00784.vnnlib,0.020300000,SAT,0.020300000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04000_label_8_eps_0.01569.vnnlib,0.019100000,SAT,0.019100000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04000_label_8_eps_0.03137.vnnlib,0.018900000,SAT,0.018900000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04000_label_8_eps_0.06275.vnnlib,0.019500000,SAT,0.019500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04400_label_3_eps_0.00392.vnnlib,0.019100000,SAT,0.019100000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04400_label_3_eps_0.00784.vnnlib,0.018800000,SAT,0.018800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04400_label_3_eps_0.01569.vnnlib,0.018700000,SAT,0.018700000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04400_label_3_eps_0.03137.vnnlib,0.018800000,SAT,0.018800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04400_label_3_eps_0.06275.vnnlib,0.018800000,SAT,0.018800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04800_label_9_eps_0.00392.vnnlib,0.018800000,SAT,0.018800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04800_label_9_eps_0.00784.vnnlib,0.018700000,SAT,0.018700000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04800_label_9_eps_0.01569.vnnlib,0.121800000,SAT,0.121800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04800_label_9_eps_0.03137.vnnlib,0.019400000,SAT,0.019400000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/04800_label_9_eps_0.06275.vnnlib,0.019200000,SAT,0.019200000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/05200_label_3_eps_0.00392.vnnlib,0.018800000,SAT,0.018800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/05200_label_3_eps_0.00784.vnnlib,0.018500000,SAT,0.018500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/05200_label_3_eps_0.01569.vnnlib,0.019000000,SAT,0.019000000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/05200_label_3_eps_0.03137.vnnlib,0.018700000,SAT,0.018700000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/05200_label_3_eps_0.06275.vnnlib,0.018500000,SAT,0.018500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/05600_label_6_eps_0.00392.vnnlib,0.019100000,SAT,0.019100000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/05600_label_6_eps_0.00784.vnnlib,0.018500000,SAT,0.018500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/05600_label_6_eps_0.01569.vnnlib,0.018300000,SAT,0.018300000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/05600_label_6_eps_0.03137.vnnlib,0.018900000,SAT,0.018900000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/05600_label_6_eps_0.06275.vnnlib,0.018500000,SAT,0.018500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/06000_label_8_eps_0.00392.vnnlib,0.018400000,SAT,0.018400000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/06000_label_8_eps_0.00784.vnnlib,0.121500000,SAT,0.121500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/06000_label_8_eps_0.01569.vnnlib,0.019500000,SAT,0.019500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/06000_label_8_eps_0.03137.vnnlib,0.019200000,SAT,0.019200000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/06000_label_8_eps_0.06275.vnnlib,0.018800000,SAT,0.018800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/06400_label_0_eps_0.00392.vnnlib,0.927600000,UNSAT,0.927600000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/06400_label_0_eps_0.00784.vnnlib,0.027400000,SAT,0.027400000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/06400_label_0_eps_0.01569.vnnlib,0.026400000,SAT,0.026400000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/06400_label_0_eps_0.03137.vnnlib,0.018700000,SAT,0.018700000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/06400_label_0_eps_0.06275.vnnlib,0.019200000,SAT,0.019200000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/06800_label_6_eps_0.00392.vnnlib,0.019300000,SAT,0.019300000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/06800_label_6_eps_0.00784.vnnlib,0.018500000,SAT,0.018500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/06800_label_6_eps_0.01569.vnnlib,0.019000000,SAT,0.019000000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/06800_label_6_eps_0.03137.vnnlib,0.019000000,SAT,0.019000000
